Title,Authors,ISBN13,MyRating,Publisher,DateRead,externalLink
"A History of Bangladesh","van Schendel, William",9781108473699,5,Cambridge University Press,2023/11/05,https://www.cambridge.org/core/books/history-of-bangladesh/71D15B388B08B78F68FDF69A4476FC87#fndtn-information
"The Issue At Hand: Essays On Buddhist Mindfulness Practice","Fronsdal, Gil",9780615162867,5,Insight Meditation Center,2023/10/21
"What I Talk About When I Talk About Running: A Memoir","Murakami, Haruki",9780307389831,4,Vintage,2023/10/21
"Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way","Tzu, Lao|Le Guin, Ursula K.",9781611807240,5,Shambala,2023/10/12
"Inventing the Future: Postcapitalism and a World Without Work","Srnicek, Nick|Williams, Alex",9781784786229,4,Verso,2016/11/01
"How to Do Nothing: Resisting the Attention Economy","Odell, Jenny",9781612198552,5,Melville House Publishing,2023/10/08
"The People's Republic of Walmart: How the World's Biggest Corporations Are Laying the Foundation for Socialism","Phillips, Leigh|Rozworski, Michal",9781786635167,4,Verso,2023/09/29
"The Terraformers","Newitz, Annalee",9781250228017,5,Tor Books,2023/09/23
"The Myth of Sisyphus and Other Essays","Camus, Albert|O'Brien, Justin, (trans.)",9781980029106,5,Recorded Books,2023/09/22
"The Meditations: A New Translation (Revised)","Aurelius,Marcus|Hays,Gregory, (trans.)",9780812968255,5,Modern Library,2023/09/10
"Reinventing Europe: The History of the European Union, 1945 to Present","Leucht, Brigitte, (ed.)|Seidel, Katja, (ed.)|Warlouzet, Laurent, (ed.)",9781350213074,5,Bloomsbury Academic,2023/08/27
"Rogue Protocol","Wells, Martha",9781250191786,5,Tordotcom,2023/08/19
"Artificial Condition","Wells, Martha",9781250186928,5,Tordotcom,2023/08/15
"All Systems Red","Wells, Martha",9780765397539,5,Tordotcom,2023/08/10
"My Year of Rest and Relaxation","Moshfegh, Ottessa",9780525522133,5,Penguin Books,2023/08/05
"The Satanic Verses","Rushdie, Salman",9780812976717,5,Random House,2023/07/25
"Martial Aesthetics: How War Became an Art Form","Engberg-Pedersen, Anders",9780804799942,5,Stanford University Press,2023/05/15
"Active Measures: The Secret History of Disinformation and Political Warfare","Rid, Thomas",9780374287269,5,"Farrar, Straus and Giroux",2023/05/07
"How to Rig an Election","Cheeseman, Nic|Klaas, Brian",9780300246650,5,Yale University Press,2023/04/29
"The Immortal Life of Henrietta Lacks","Skloot, Rebecca",9781400052189,5,Crown Publishing Group,2023/02/28
"True Biz","Nović,Sarah",9780593241509,5,Random House,2023/02/14
"The Sandman Vol. 3: Dream Country 30th Anniversary Edition","Gaiman, Neil|Jones, Kelley",9781401285487,5,Vertigo,2023/02/08
"The Sandman Vol. 2: The Doll's House 30th Anniversary Edition","Gaiman, Neil|Dringenberg, Mike",9781401285067,5,Vertigo,2023/02/04
"The Sandman Vol. 1: Preludes & Nocturnes 30th Anniversary Edition","Gaiman, Neil|Keith, Sam",9781401284770,5,Vertigo,2023/02/03
