BookId,Title,Author,AuthorLF,AdditionalAuthors,ISBN,ISBN13,MyRating,AverageRating,Publisher,Binding,NumberOfPages,YearPublished,OriginalPublicationYear,DateRead,DateAdded,Bookshelves,BookshelvesWithPositions,ExclusiveShelf,MyReview,Spoiler,PrivateNotes,ReadCount,RecommendedFor,RecommendedBy,OwnedCopies,OriginalPurchaseDate,OriginalPurchaseLocation,Condition,ConditionDescription,BCID
2159,Confessions of an Economic Hit Man,John Perkins,"Perkins, John",,"=""0452287081""","=""9780452287082""",2,3.86,Plume,Paperback,303,2005,2004,,2019/07/20,,,read,"The problem at the core of this book is trust. Do dynamics and even overt American foreign policy strategies like the ones he describes exist? Sure. Do I believe that literal ""economic hit men"" under the command of the NSA exist, and that Perkins was personally the key player in the economic colonization of half a dozen countries around the world? I am very dubious. And if that is poetic license, what else is?<br/><br/>Perkins might have done well to take the advice he says he got from one publisher, and edited this as fiction in the spirit of John Grisham - this is actually pretty good writing and it would have been more honest.<br/><br/>Oh, and he is super weird about women.",,,1,,,0,,,,,
32191706,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""1631492853""","=""9781631492853""",5,4.44,Liveright,Hardcover,368,2017,2017,,2019/07/10,,,read,"This is an outstanding work of legal and historical scholarship that calls bullshit on complacent progressivism at a rate of approximately once per sentence for three hundred straight pages. But it's not personal, it's just a precondition for change. Read this in a single sitting.",,,1,,,0,,,,,
3711,White Teeth,Zadie Smith,"Smith, Zadie",,"=""0375703861""","=""9780375703867""",5,3.77,Vintage,Paperback,448,2001,2000,2013/07/10,2013/07/20,,,read,,,,2,,,0,,,,,
29633913,"Emergent Strategy: Shaping Change, Changing Worlds",Adrienne Maree Brown,"Brown, Adrienne Maree",,"=""1849352607""","=""9781849352604""",4,4.34,A K Pr Distribution,Paperback,274,2017,2017,,2019/07/05,,,read,,,,1,,,0,,,,,
30376555,The Globalizing Cities Reader,Roger Keil,"Keil, Roger","Xuefei Ren, Neil Brenner","=""1138923699""","=""9781138923690""",5,5.00,Routledge,Paperback,482,2017,,,2019/06/11,,,read,"This is a comprehensive and thoughtful survey of the scholarship and debate on the topics of the ""world city,"" ""global city,"" and later variants and interventions.  These ideas seek to understand cities less as places and more as nodes in global economic (and other) systems and to understand local growth, politics, and inequities in that frame. <br/><br/>I slogged straight through but this book is well-organized and will serve as a handy reference manual going forward!",,,1,,,0,,,,,
400283,"Stray Bullets, Vol. 2: Somewhere Out West",David Lapham,"Lapham, David",,"=""097271457X""","=""9780972714570""",5,4.23,El Capitan,Paperback,224,2005,2015,,2019/06/08,,,read,,,,1,,,0,,,,,
38658952,"Stray Bullets: Sunshine & Roses, Vol. 1",David Lapham,"Lapham, David",,"=""1534307990""","=""9781534307995""",5,4.00,Image Comics,Paperback,248,2018,,,2019/06/07,,,read,,,,1,,,0,,,,,
40121988,Trump Sky Alpha,Mark Doten,"Doten, Mark",,"=""1555978282""","=""9781555978280""",5,3.35,Graywolf Press,Paperback,288,2019,2019,,2019/05/21,,,read,,,,2,,,0,,,,,
84691,Gotham Writers' Workshop: Writing Fiction: The Practical Guide From New York's Acclaimed Creative Writing School,Alexander Steele,"Steele, Alexander",Gotham Writers' Workshop,"=""1582343306""","=""9781582343303""",5,4.16,Bloomsbury USA,Paperback,304,2003,2003,,2019/05/12,,,read,,,,2,,,0,,,,,
26491116,"State-Building in Kosovo: Democracy, Corruption and the EU in the Balkans",Andrea Lorenzo Capussela,"Capussela, Andrea Lorenzo",,"=""1780769156""","=""9781780769158""",4,3.50,I.B. Tauris,Hardcover,320,2015,2015,,2019/05/05,,,read,A fascinating and genteelly polemical insider's account of the EU and UN missions to build a modern democracy in Kosovo. I found this really useful as a window into the worlds of diplomacy and international affairs at their most stilted. I'm sure I missed a lot of nuance and maybe some pot shots but.. neat.,,,1,,,0,,,,,
31522121,The Songs of Trees: Stories from Nature's Great Connectors,David George Haskell,"Haskell, David George",,"=""052542752X""","=""9780525427520""",3,4.05,Viking,Hardcover,304,2017,2017,,2019/04/28,,,read,"This is a beautifully written book that is worth reading for its aesthetics alone. Haskell deploys words and imagery in a candidly poetic way that most contemporary fiction writers (maybe outside of Latin America?) don't allow themselves to do.  I also appreciate his refusal to treat science, culture, and ethics as separate concerns. I was frustrated often by the attendant lack of focus: is this book about trees? Anthropology? Philosophy? Ecology? In the end this book is a very long and beautiful tone poem.. and a bit of a mess.",,,1,,,0,,,,,
31939302,"Race, Class, and Politics in the Cappuccino City",Derek S. Hyra,"Hyra, Derek S.",,"=""022644953X""","=""9780226449531""",4,3.60,University of Chicago Press,Paperback,240,2017,,2019/04/11,2019/04/11,,,read,"This is a thoughtful and important look at gentrification and neighborhood transformation in DC. It suffers badly from trying to pose as ethnography when it is actually more like an anthology of editorial essays. It also suffers from Hyra's insistence on coining phrases like ""Cappuccino City"" and ""living the wire"" that aren't, or don't appear to be, well connected to his research and his repeated claims to be advancing whole fields of academic research, such as intersectionality, in short chapters. That being said I would have gladly read an edition of this urgently needed book that was twice as long - especially if the extra page count were filled by quotes from the actual residents he spoke with.",,,1,,,0,,,,,
290449,The Reindeer People: Living with Animals and Spirits in Siberia,Piers Vitebsky,"Vitebsky, Piers",,"=""0618773576""","=""9780618773572""",5,3.98,Mariner Books,Paperback,496,2006,2005,2019/04/06,2019/01/03,,,read,Amazing anthropological/ethnographic writing and a great read in combination with Donna Haraway's When Species Meet.,,,1,,,0,,,,,
11225819,"Speak, Memory",Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",0,4.19,,Kindle Edition,335,,1951,,2019/03/19,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
25986929,"Goodnight Punpun Omnibus, Vol. 1",Inio Asano,"Asano, Inio",,"=""1421586207""","=""9781421586205""",5,4.24,VIZ Media LLC,Paperback,448,2016,2016,,2019/03/19,,,read,"Good, sweet, and true!",,,1,,,0,,,,,
27285564,Intersectionality,Patricia Hill Collins,"Collins, Patricia Hill",Sirma Bilge,"=""0745684491""","=""9780745684499""",4,4.01,Polity Press,Paperback,224,2016,,,2019/03/16,,,read,A good overview that also presents some of the areas of emergence and contestation in the field. I was a bit disappointed by the lack of specificity about the *how* of intersectional praxis.,,,1,,,0,,,,,
38748157,Leaf Supply: A Guide to Keeping Happy House Plants,Lauren Camilleri,"Camilleri, Lauren",Sophia Kaplan,"=""1925418634""","=""9781925418637""",0,4.04,Smith Street Books,Hardcover,256,2018,,,2019/03/16,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
29502374,The Revenge of Analog: Real Things and Why They Matter,David Sax,"Sax, David",,"=""1610395719""","=""9781610395717""",1,3.79,PublicAffairs,Hardcover,304,2016,2016,,2019/03/12,,,read,"What a frustratingly bad book on such an interesting and important topic. Entire chapters are given over to marketers from companies like Moleskine talking about how ""there's just something special the feel of paper"" etc, on repeated but unsupported arguments that digital technology is inherently alienating, and on a strongly implied but unexplored (e.g. in the title) assertion that some kind of groundswell of analog technology is happening as a result. He also spends approximately one sentence defining his terms: what exactly is meant by analog and by digital? In the end he drives away from his childhood summer camp in the warm glow of nostalgia, opting for a Neil Young song on the radio in preference to streaming ""digital"" music, his windows down to let in the summer breeze. The irony is that the broadcast equipment, the radio in his car, and probably the car itself are all largely digital equipment. Oh and no, IDEO did not invent human centered design. Ugh.",,,1,,,0,,,,,
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",5,4.31,Random House,Hardcover,472,2002,1961,,2019/03/01,,,read,This book fundamentally changed how I look at both cities and power. Wow.,,,1,,,0,,,,,
971320,When Species Meet,Donna J. Haraway,"Haraway, Donna J.",,"=""0816650462""","=""9780816650460""",5,3.93,University of Minnesota Press,Paperback,423,2007,2007,,2019/03/09,,,read,Did I secretly read this book to give me air cover to watch animal odd-couple videos? Maybe. Did it reconfigure my model of self in the process? Yes.,,,1,,,0,,,,,
3537922,Why Not Eat Insects?,Vincent M. Holt,"Holt, Vincent M.",,"=""0946014124""","=""9780946014125""",5,3.73,Pryor Publications,Paperback,104,1992,1992,,2019/02/14,,,read,,,,1,,,0,,,,,
31670196,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey B. West,"West, Geoffrey B.",,"=""1594205582""","=""9781594205583""",3,4.14,Penguin Press,Hardcover,481,2017,2017,,2019/02/12,,,read,,,,1,,,0,,,,,
70132,Information Architecture for the World Wide Web: Designing Large-Scale Web Sites,Peter Morville,"Morville, Peter",Louis Rosenfeld,"=""0596527349""","=""9780596527341""",0,3.91,O'Reilly Media,Paperback,528,2006,1998,,2019/02/12,,,read,,,,1,,,0,,,,,
6568245,In Our Time,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",2,3.79,Scribner,Kindle Edition,160,2002,1924,2019/02/10,2019/01/29,,,read,,,,1,,,0,,,,,
33947154,They Can't Kill Us Until They Kill Us,Hanif Abdurraqib,"Abdurraqib, Hanif",,"=""""","=""9781937512651""",5,4.57,Two Dollar Radio,Paperback,291,2017,2017,2019/01/02,2019/01/02,,,read,,,,1,,,0,,,,,
3073941,Architect or Bee?: The Human/Technology Relationship,Mike  Cooley,"Cooley, Mike",David F. Noble,"=""0896081311""","=""9780896081314""",5,3.58,South End Press,Paperback,134,1999,,2019/01/21,2019/01/21,,,read,This book fundamentally changed how I view the historical position of design relative to movements for social change. Definitely to be read as polemic rather than an academic study!,,,1,,,0,,,,,
26187471,The Entrepreneurial State: Debunking Public vs. Private Sector Myths,Mariana Mazzucato,"Mazzucato, Mariana",,"=""""","=""""",2,3.97,PublicAffairs,Kindle Edition,288,2015,2011,2019/01/03,2018/03/06,,,read,,,,1,,,0,,,,,
60934,"Imago (Xenogenesis, #3)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603635""","=""9780446603638""",3,4.19,Aspect,Paperback,224,1997,1989,2019/01/29,2019/01/19,,,read,,,,1,,,0,,,,,
116249,"Adulthood Rites (Xenogenesis, #2)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603783""","=""9780446603782""",4,4.16,Aspect,Paperback,277,1997,1988,,2019/01/19,,,read,,,,1,,,0,,,,,
60929,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446603775""","=""9780446603775""",5,4.12,Warner Books,Paperback,248,1997,1987,,2019/01/19,,,read,,,,1,,,0,,,,,
20603758,Ready Player One,Ernest Cline,"Cline, Ernest",,"=""""","=""""",2,4.27,Broadway Books,Kindle Edition,386,2011,2011,2017/07/04,2017/06/14,,,read,,,,1,,,0,,,,,
781178,Flesh and Stone: The Body and the City in Western Civilization,Richard Sennett,"Sennett, Richard",,"=""0393313913""","=""9780393313918""",5,4.27,W. W. Norton  Company,Paperback,432,1996,1996,2019/01/13,2019/01/03,,,read,,,,1,,,0,,,,,
24726205,Tour de France: The Complete History of the World's Greatest Cycle Race,Marguerite Lazell,"Lazell, Marguerite",,"=""""","=""""",2,3.00,Carlton,Kindle Edition,240,2014,2014,2019/01/03,2017/03/24,,,read,,,,1,,,0,,,,,
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",4,3.76,Random House,Hardcover,343,2017,2017,,2019/01/03,,,read,,,,1,,,0,,,,,
31432780,The Journals of Lewis and Clark,William Clark Meriwether Lewis,"Lewis, William Clark Meriwether",,"=""""","=""""",0,4.25,anboco,Kindle Edition,715,2016,,,2018/10/19,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
22034743,My Struggle: Book 3,Karl Ove Knausgård,"Knausgård, Karl Ove",Don Bartlett,"=""""","=""""",0,4.18,"Farrar, Straus and Giroux",Kindle Edition,465,2014,2009,,2018/10/16,currently-reading,currently-reading (#2),currently-reading,,,,0,,,0,,,,,
18715700,"Call for the Dead (George Smiley, #1)",John le Carré,"Carré, John le",,"=""""","=""""",3,3.82,Penguin Books,Kindle Edition,171,2012,1961,2018/10/16,2018/09/09,,,read,,,,1,,,0,,,,,
20050033,A Man in Love,Karl Ove Knausgård,"Knausgård, Karl Ove",Don Bartlett,"=""""","=""""",0,4.32,"Farrar, Straus and Giroux",Kindle Edition,577,2013,2009,2018/10/16,2018/04/25,,,read,,,,1,,,0,,,,,
37976590,The Globalizing Cities Reader (Routledge Urban Reader Series),Xuefei Ren,"Ren, Xuefei",Roger Keil,"=""""","=""""",0,5.00,Routledge,Kindle Edition,511,2017,,,2018/08/07,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
19569669,My Struggle: Book 1,Karl Ove Knausgård,"Knausgård, Karl Ove",Don Bartlett,"=""""","=""""",5,4.08,"Farrar, Straus and Giroux",Kindle Edition,449,2013,2009,2018/04/24,2018/04/24,,,read,,,,1,,,0,,,,,
28475093,"A History of Rock Creek Park: Wilderness & Washington, D.C. (Landmarks)",Scott Einberger,"Einberger, Scott",,"=""""","=""""",5,3.76,The History Press,Kindle Edition,256,2014,2014,2018/04/14,2018/04/14,,,read,,,,2,,,0,,,,,
19049726,Wired Love: A Romance of Dots and Dashes,Ella Cheever Thayer,"Thayer, Ella Cheever",,"=""""","=""""",5,3.89,,Kindle Edition,173,2012,1879,2018/04/14,2018/02/20,,,read,,,,1,,,0,,,,,
33560536,"Animosity, Vol. 1: The Wake",Marguerite Bennett,"Bennett, Marguerite","Rafael de Latorre, Juan Doe, Rob Schwager","=""""","=""""",0,3.84,AfterShock Comics,Kindle Edition,120,2017,2017,,2018/03/07,,,read,,,,1,,,0,,,,,
36585752,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""""","=""""",5,4.01,,Kindle Edition,272,2017,1963,2018/02/26,2018/02/05,,,read,,,,1,,,0,,,,,
8266302,The Sea,John Banville,"Banville, John",,"=""""","=""""",5,3.52,Vintage,Kindle Edition,210,2007,2005,2018/02/05,2017/03/18,,,read,,,,1,,,0,,,,,
36681252,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",4,4.02,Mariner Books,Kindle Edition,307,2011,1977,2017/12/29,2017/12/05,,,read,,,,1,,,0,,,,,
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",5,4.09,Ballantine Books,Kindle Edition,258,2008,1968,2017/11/30,2017/11/03,,,read,,,,1,,,0,,,,,
18867493,Saga #1,Brian K. Vaughan,"Vaughan, Brian K.","Eric Stephenson, Fiona Staples, Fonografiks, Fonographics","=""""","=""""",0,4.17,Image Comics,Kindle Edition,48,2012,2012,,2015/03/30,,,read,,,,1,,,0,,,,,
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",3,4.04,Knopf,Hardcover,336,2014,2014,2017/10/08,2017/01/02,,,read,,,,1,,,0,,,,,
17854650,The Lowland,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""""","=""""",4,3.85,Knopf,Kindle Edition,352,2013,2013,2017/10/08,2017/10/08,,,read,,,,1,,,0,,,,,
18474954,Cities of Tomorrow: An Intellectual History of Urban Planning and Design Since 1880,Peter Geoffrey Hall,"Hall, Peter Geoffrey",,"=""1118456475""","=""9781118456477""",5,3.86,Wiley-Blackwell,Paperback,640,2014,1988,2016/08/01,2017/01/02,,,read,,,,1,,,0,,,,,
25652823,Tragic Design: The True Impact of Bad Design and How to Fix It,Jonathan Shariat,"Shariat, Jonathan",,"=""149192361X""","=""9781491923610""",3,4.14,O'Reilly Media,Paperback,220,2017,2016,2017/05/31,2017/07/31,,,read,,,,1,,,0,,,,,
2175,Madame Bovary,Gustave Flaubert,"Flaubert, Gustave","Mark Overstall, Malcolm Bowie, Margaret Mauldon, Victor Villarraza, Tomás de C.  Duran, Achilli","=""0192840398""","=""9780192840394""",5,3.67,Oxford University Press,Paperback,329,2004,1856,2017/06/30,2017/07/31,,,read,,,,1,,,0,,,,,
7805,Pale Fire,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0141185260""","=""9780141185262""",5,4.15,Penguin Books Ltd,Paperback,246,2000,1962,2017/04/30,2017/07/31,,,read,,,,1,,,0,,,,,
29548767,Time Travel: A History,James Gleick,"Gleick, James",,"=""""","=""""",5,3.58,Vintage,Kindle Edition,354,2016,2016,2017/04/01,2017/03/18,,,read,,,,1,,,0,,,,,
379659,Creative Evolution,Henri Bergson,"Bergson, Henri",,"=""0760765480""","=""9781596053090""",0,4.09,Cosimo Classics,Paperback,472,2005,1907,,2017/03/20,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
203326,Bergsonism,Gilles Deleuze,"Deleuze, Gilles","Hugh Tomlinson, Barbara Habberjam","=""0942299078""","=""9780942299076""",0,4.14,Zone Books,Paperback,144,1990,1966,,2017/03/20,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
24720036,Slade House,David Mitchell,"Mitchell, David",,"=""""","=""""",3,3.81,Random House,Kindle Edition,241,2015,2015,,2017/03/18,,,read,,,,1,,,0,,,,,
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",5,4.26,Small Beer Press,ebook,281,2010,2002,2017/03/01,2017/01/02,,,read,,,,1,,,0,,,,,
25666046,The North Water,Ian McGuire,"McGuire, Ian",,"=""1627795944""","=""9781627795944""",5,3.99,Henry Holt and Co.,Hardcover,255,2016,2016,2017/02/01,2017/01/02,,,read,,,,1,,,0,,,,,
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",5,4.15,Ecco,Hardcover,304,2010,2010,2017/01/01,2017/01/02,,,read,,,,1,,,0,,,,,
40470,"Cities of the Plain (The Border Trilogy, #3)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679747192""","=""9780679747192""",5,4.09,Vintage Books,Paperback,292,1999,1998,2016/02/01,2017/01/02,,,read,,,,1,,,0,,,,,
913269,The City of Tomorrow and Its Planning,Le Corbusier,"Corbusier, Le",Frederick Etchells,"=""0486253325""","=""9780486253329""",0,3.92,Dover Publications,Paperback,352,1987,1947,,2017/01/02,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",2,3.88,Dial Press,Paperback,324,1999,1985,2016/07/01,2017/01/02,,,read,,,,1,,,0,,,,,
23754479,Purity,Jonathan Franzen,"Franzen, Jonathan",,"=""0374239215""","=""9780374239213""",5,3.61,"Farrar, Straus and Giroux",Hardcover,563,2015,2015,2016/08/01,2017/01/02,,,read,,,,1,,,0,,,,,
